what,kind,bundleId,bundleVersion,description,time
activated,editor,com.google.gwt.eclipse.core,1.4.0.v201010280102,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1294044455504
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1294044457404
opened,editor,com.google.gwt.eclipse.core,1.4.0.v201010280102,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1294044457621
activated,editor,com.google.gwt.eclipse.core,1.4.0.v201010280102,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1294044457720
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294044473255
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294044533340
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1294044535456
activated,editor,com.instantiations.designer.core.ui,,"com.instantiations.designer.core.guiEditor",1294044535695
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1294044539106
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1294044570261
opened,editor,com.google.gwt.eclipse.core,1.4.0.v201010280102,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1294044571545
activated,editor,com.google.gwt.eclipse.core,1.4.0.v201010280102,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1294044571658
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294044576856
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294044590860
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1294044592846
activated,editor,com.google.gwt.eclipse.core,1.4.0.v201010280102,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1294044593779
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294044613345
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294044614155
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294044614825
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294045190949
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294045193026
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294045194649
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294045194961
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1294045196381
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1294045196740
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1294045196755
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1294045196786
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1294045196818
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1294045196849
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1294045196849
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1294045196849
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1294045196864
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1294045196880
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1294045196927
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1294045196927
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1294045196943
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1294045196943
